date;start;pcs_s;pcs_w;pcs_e;allstates_s;allstates_e;chain_s;chain_o;chain_e;matrix_n;matrix_o;matrix_e;random_s,random_e;error_reports;language_es;language_en;language_ch;privacy;help;outofcontext;errors;admin
2025-10-17;1;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;3
2025-10-20;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
2025-10-24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-10-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2025-10-29;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2025-11-3;2;3;0;0;0;0;0;0;00;;0;0;0;0;0;0;0;0;0;2;3;0;0
2025-11-4;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
2025-11-7;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-11;0;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1
2025-11-15;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2025-12-3;0;0;0;0;0;0;4;14;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0
2025-12-9;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-12-10;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1
2025-12-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0
2025-12-12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-12-17;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-11-28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2025-12-3;0;0;0;0;0;0;4;14;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0
2025-12-9;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-12-10;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1
2025-12-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0
2025-12-12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-12-17;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025-12-20;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2026-1-5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2026-1-6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2026-1-20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2026-3-4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2026-3-7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2026-3-23;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0
2026-4-9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2026-4-14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2026-4-15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2026-4-22;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2026-4-24;1;13;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
2026-4-29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
2026-4-30;2;0;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0
